cluster,keyword,intent,vol_est,diff_est,quick_win,target_url,ice_impact,ice_confidence,ice_ease,ice_score,priority_rank,notes
Cumplimiento CFE,factor de potencia multa cfe,Commercial,100-500,Low,yes,/factor-de-potencia-multa-cfe,7,9,8,504,1,Ningun competidor rankea. Regla 0.97 en 2026 = gancho fresco. Quick win mas limpio.
Ahorro,deduccion fiscal lisr art 34 solar bess,Commercial,<100,Low,yes,/deduccion-fiscal-paneles-bess,7,8,8,448,2,Intent CFO. Depreciacion acelerada 100% ano 1. Casi sin contenido C&I.
Cargos CFE,cargo por demanda cfe como reducir,Commercial,100-500,Low,yes,/cargo-por-demanda-cfe,7,8,8,448,3,SERP fragmentado. Empata con pitch BESS/peak shaving.
Solar industrial,cuanto cuesta instalar paneles solares industria,Commercial,100-500,Low,yes,/cuanto-cuesta-paneles-solares-industria,9,7,7,441,4,Volumen alto intent precio. Necesita profundidad 2.5-3.5k palabras + opcion PPA.
Tarifas CFE,como leer recibo cfe gdmth,Informational,<100,Low,yes,/como-leer-recibo-cfe-gdmth,6,8,9,432,5,How-to puro nadie lo posee. Tablas crawleables. Iman tope de embudo.
Glosario,glosario mem pml mda mtr usuario calificado,Informational,varios,Low,yes,/glosario,5,8,9,360,6,Iguala foso de Niko y lo extiende al mercado mayorista que Niko ignora. Programatico.
Reforma,net billing vs net metering 2025,Informational,100-500,Med,no,/net-billing-vs-net-metering,6,8,7,336,7,Reglas cambiaron contenido viejo obsoleto. Re-rankeable primer movedor.
Tarifas CFE,tarifa gdmth explicada,Informational,500-2k,Med,no,/tarifa-gdmth,8,7,6,336,8,PILAR del cluster de tarifas. Construir temprano por enlazado interno.
Ahorro,energia para nearshoring,Commercial,<100,Low,yes,/energia-nearshoring,6,7,7,294,9,Tema PR/noticias sin pagina vendedora optimizada. Pilar enlazable.
Geo,paneles solares industriales monterrey,Commercial,100-500,Low,yes,/paneles-solares-industriales/monterrey,6,7,7,294,10,Hub industrial baja competencia geo. Plantilla programatica 15+ ciudades.
Reforma,generacion distribuida 0.7 mw reforma,Informational,100-500,Low,no,/generacion-distribuida-0-7-mw,6,8,6,288,11,Explicador regulatorio nuevo umbral LSE 2025. Slot vacio compite con gobierno.
Reforma,ppa virtual vs fisico mexico,Informational,<100,Low,no,/ppa-virtual-vs-fisico,5,8,7,280,12,Cero contenido MX-especifico (solo Espana + bufetes). Apertura limpia.
Reforma,codigo de red obligaciones multa,Informational,<100,Low,no,/codigo-de-red-obligaciones,5,8,7,280,13,Sin brand de energia dominante. Intent miedo-cumplimiento.
Ahorro,como reducir recibo cfe empresa,Commercial,500-2k,Med,no,/reducir-recibo-cfe-empresa,9,6,6,324,14,PILAR HUB de autoridad. Conecta 3 palancas. Niko ~3.8k palabras benchmark.
MEM,usuario calificado mem registro,Commercial,<100,Low,yes,/usuario-calificado-mem-registro,7,6,6,252,15,Lead alto valor >=1 MW. ER compite pero how-to con checklist gana slots.
Solar industrial,paneles solares para empresas,Commercial,500-2k,Med,no,/paneles-solares-para-empresas,9,6,5,270,16,Termino dinero core. B2B no saturado (todos van a para casa). Necesita autoridad.
ESG,cels que son obligaciones,Informational,100-500,Med,no,/cels-que-son,5,7,7,245,17,ER tiene contenido pero NO rankea top (ONGs/consultoras). Batible.
PPA,ppa solar vs capex,Commercial,100-500,Med,no,/ppa-solar-vs-capex,8,6,5,240,18,ER posee PPA. Flanquear con matematica TCO/LCOE en pesos + lado fiscal.
BESS,bess vs generador diesel,Commercial,100-500,Med,no,/bess-vs-generador-diesel,7,6,5,210,19,ER #1 pero reciente. Batible con tabla TCO + esquema hibrido.
BESS,peak shaving cuanto ahorra,Informational,<100,Low,no,/peak-shaving-cuanto-ahorra,6,6,5,180,20,Quartux posee peak shaving. Flanquear sub-intent cuanto ahorra con formula.
Solar industrial,paneles solares industriales,Commercial,500-2k,Med,yes,,,,,,,Core B2B no saturado
Solar industrial,paneles solares industriales en mexico,Commercial,100-500,Low,yes,,,,,,,Exact ICP thin competition
Solar industrial,paneles solares para empresas industriales,Commercial,100-500,Low,yes,,,,,,,
Solar industrial,costo de paneles solares para empresas,Commercial,100-500,Low,yes,,,,,,,Price intent B2B
Solar industrial,instalacion de paneles solares para empresas,Commercial,100-500,Low,yes,,,,,,,
Solar industrial,sistema fotovoltaico industrial,Commercial,100-500,Low,yes,,,,,,,
Solar industrial,paneles solares nave industrial,Commercial,100-500,Low,yes,,,,,,,Exact use-case match
